Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

1.062e+0, -5.799e-9
1.064e+0, -5.185e-9
1.066e+0, -4.571e-9
1.068e+0, -4.878e-9
1.070e+0, -4.878e-9
1.072e+0, -5.492e-9
1.074e+0, -6.105e-9
1.076e+0, -6.105e-9
1.078e+0, -6.105e-9
1.080e+0, -5.185e-9
1.082e+0, -4.571e-9
1.084e+0, -4.571e-9
1.086e+0, -4.571e-9
1.088e+0, -5.185e-9
1.090e+0, -6.105e-9
1.092e+0, -6.105e-9
1.094e+0, -6.412e-9
1.096e+0, -5.492e-9
1.098e+0, -4.878e-9
1.100e+0, -4.571e-9
1.102e+0, -4.571e-9
1.104e+0, -5.185e-9
1.106e+0, -5.799e-9
1.108e+0, -6.105e-9
1.110e+0, -6.105e-9
1.112e+0, -5.799e-9
1.114e+0, -5.185e-9
1.116e+0, -4.878e-9
1.118e+0, -4.878e-9
1.120e+0, -4.878e-9
1.122e+0, -5.492e-9
1.124e+0, -6.105e-9
1.126e+0, -6.105e-9
1.128e+0, -6.105e-9
1.130e+0, -5.185e-9
1.132e+0, -4.571e-9
1.134e+0, -4.571e-9
1.136e+0, -4.571e-9
1.138e+0, -5.185e-9
1.140e+0, -6.105e-9
1.142e+0, -6.105e-9
1.144e+0, -6.412e-9
1.146e+0, -5.492e-9
1.148e+0, -4.878e-9
1.150e+0, -4.878e-9
1.152e+0, -4.571e-9
1.154e+0, -5.185e-9
1.156e+0, -5.799e-9
1.158e+0, -6.105e-9
1.160e+0, -6.105e-9
1.162e+0, -5.799e-9
1.164e+0, -5.185e-9
1.166e+0, -4.571e-9
1.168e+0, -4.878e-9
1.170e+0, -4.878e-9
1.172e+0, -5.492e-9
1.174e+0, -6.105e-9
1.176e+0, -6.105e-9
1.178e+0, -6.105e-9
1.180e+0, -5.185e-9
1.182e+0, -4.571e-9
1.184e+0, -4.571e-9
1.186e+0, -4.571e-9
1.188e+0, -5.185e-9
1.190e+0, -6.105e-9
1.192e+0, -6.105e-9
1.194e+0, -6.105e-9
1.196e+0, -5.492e-9
1.198e+0, -4.878e-9
1.200e+0, -4.571e-9
1.202e+0, -4.571e-9
1.204e+0, -5.185e-9
1.206e+0, -5.799e-9
1.208e+0, -6.105e-9
1.210e+0, -6.105e-9
1.212e+0, -5.799e-9
1.214e+0, -5.185e-9
1.216e+0, -4.571e-9
1.218e+0, -4.878e-9
1.220e+0, -4.878e-9
1.222e+0, -5.492e-9
1.224e+0, -6.105e-9
1.226e+0, -6.105e-9
1.228e+0, -6.105e-9
1.230e+0, -5.185e-9
1.232e+0, -4.571e-9
1.234e+0, -4.571e-9
1.236e+0, -4.571e-9
1.238e+0, -5.185e-9
1.240e+0, -6.105e-9
1.242e+0, -6.105e-9
1.244e+0, -6.105e-9
1.246e+0, -5.492e-9
1.248e+0, -4.878e-9
1.250e+0, -4.571e-9
1.252e+0, -4.571e-9
1.254e+0, -5.185e-9
1.256e+0, -5.492e-9
1.258e+0, -6.105e-9
