Nov. 10, 2015   10:07:12
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa4.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Potential/V, Current/A

-0.356, -2.485e-9
-0.355, -2.592e-9
-0.354, -2.399e-9
-0.353, -2.474e-9
-0.352, -2.470e-9
-0.351, -2.361e-9
-0.350, -2.472e-9
-0.349, -2.305e-9
-0.348, -2.379e-9
-0.347, -2.364e-9
-0.346, -2.271e-9
-0.345, -2.388e-9
-0.344, -2.245e-9
-0.343, -2.339e-9
-0.342, -2.324e-9
-0.341, -2.203e-9
-0.340, -2.306e-9
-0.339, -2.182e-9
-0.338, -2.302e-9
-0.337, -2.327e-9
-0.336, -2.232e-9
-0.335, -2.354e-9
-0.334, -2.200e-9
-0.333, -2.254e-9
-0.332, -2.199e-9
-0.331, -2.076e-9
-0.330, -2.185e-9
-0.329, -2.036e-9
-0.328, -2.103e-9
-0.327, -2.085e-9
-0.326, -1.995e-9
-0.325, -2.081e-9
-0.324, -1.881e-9
-0.323, -1.977e-9
-0.322, -2.001e-9
-0.321, -1.899e-9
-0.320, -2.023e-9
-0.319, -1.867e-9
-0.318, -1.940e-9
-0.317, -1.915e-9
-0.316, -1.827e-9
-0.315, -1.967e-9
-0.314, -1.799e-9
-0.313, -1.880e-9
-0.312, -1.881e-9
-0.311, -1.787e-9
-0.310, -1.904e-9
-0.309, -1.761e-9
-0.308, -1.855e-9
-0.307, -1.880e-9
-0.306, -1.791e-9
-0.305, -1.913e-9
-0.304, -1.788e-9
-0.303, -1.913e-9
-0.302, -1.867e-9
-0.301, -1.718e-9
-0.300, -1.801e-9
-0.299, -1.639e-9
-0.298, -1.713e-9
-0.297, -1.664e-9
-0.296, -1.552e-9
-0.295, -1.666e-9
-0.294, -1.519e-9
-0.293, -1.582e-9
-0.292, -1.527e-9
-0.291, -1.425e-9
-0.290, -1.553e-9
-0.289, -1.396e-9
-0.288, -1.502e-9
-0.287, -1.491e-9
-0.286, -1.410e-9
-0.285, -1.534e-9
-0.284, -1.362e-9
-0.283, -1.482e-9
-0.282, -1.471e-9
-0.281, -1.384e-9
-0.280, -1.509e-9
-0.279, -1.369e-9
-0.278, -1.475e-9
-0.277, -1.454e-9
-0.276, -1.352e-9
-0.275, -1.471e-9
-0.274, -1.326e-9
-0.273, -1.449e-9
-0.272, -1.418e-9
-0.271, -1.309e-9
-0.270, -1.443e-9
-0.269, -1.293e-9
-0.268, -1.369e-9
-0.267, -1.335e-9
-0.266, -1.256e-9
-0.265, -1.396e-9
-0.264, -1.241e-9
-0.263, -1.334e-9
-0.262, -1.322e-9
-0.261, -1.241e-9
-0.260, -1.349e-9
-0.259, -1.192e-9
-0.258, -1.285e-9
-0.257, -1.263e-9
-0.256, -1.211e-9
-0.255, -1.334e-9
-0.254, -1.174e-9
-0.253, -1.269e-9
-0.252, -1.234e-9
-0.251, -1.146e-9
-0.250, -1.272e-9
-0.249, -1.126e-9
-0.248, -1.230e-9
-0.247, -1.220e-9
-0.246, -1.151e-9
-0.245, -1.275e-9
-0.244, -1.116e-9
-0.243, -1.211e-9
-0.242, -1.187e-9
-0.241, -1.121e-9
-0.240, -1.235e-9
-0.239, -1.064e-9
-0.238, -1.158e-9
-0.237, -1.137e-9
-0.236, -1.059e-9
-0.235, -1.194e-9
-0.234, -1.045e-9
-0.233, -1.146e-9
-0.232, -1.133e-9
-0.231, -1.059e-9
-0.230, -1.179e-9
-0.229, -1.020e-9
-0.228, -1.130e-9
-0.227, -1.108e-9
-0.226, -1.025e-9
-0.225, -1.148e-9
-0.224, -9.908e-10
-0.223, -1.113e-9
-0.222, -1.106e-9
-0.221, -1.022e-9
-0.220, -1.150e-9
-0.219, -9.989e-10
-0.218, -1.098e-9
-0.217, -1.100e-9
-0.216, -1.012e-9
-0.215, -1.131e-9
-0.214, -9.812e-10
-0.213, -1.085e-9
-0.212, -1.064e-9
-0.211, -9.943e-10
-0.210, -1.123e-9
-0.209, -9.788e-10
-0.208, -1.090e-9
-0.207, -1.056e-9
-0.206, -9.822e-10
-0.205, -1.123e-9
-0.204, -9.732e-10
-0.203, -1.081e-9
-0.202, -1.055e-9
-0.201, -9.813e-10
-0.200, -1.105e-9
-0.199, -9.606e-10
-0.198, -1.059e-9
-0.197, -1.021e-9
-0.196, -9.635e-10
-0.195, -1.092e-9
-0.194, -9.420e-10
-0.193, -1.051e-9
-0.192, -1.028e-9
-0.191, -9.505e-10
-0.190, -1.073e-9
-0.189, -9.240e-10
-0.188, -1.038e-9
-0.187, -1.010e-9
-0.186, -9.441e-10
-0.185, -1.062e-9
-0.184, -9.134e-10
-0.183, -1.022e-9
-0.182, -9.957e-10
-0.181, -9.273e-10
-0.180, -1.053e-9
-0.179, -9.047e-10
-0.178, -1.014e-9
-0.177, -9.799e-10
-0.176, -9.166e-10
-0.175, -1.043e-9
-0.174, -8.909e-10
-0.173, -9.955e-10
-0.172, -9.615e-10
-0.171, -8.908e-10
-0.170, -1.013e-9
-0.169, -8.633e-10
-0.168, -9.776e-10
-0.167, -9.468e-10
-0.166, -8.798e-10
-0.165, -9.987e-10
-0.164, -8.501e-10
-0.163, -9.735e-10
-0.162, -9.412e-10
-0.161, -8.742e-10
-0.160, -9.995e-10
-0.159, -8.447e-10
-0.158, -9.602e-10
-0.157, -9.303e-10
-0.156, -8.669e-10
-0.155, -9.837e-10
-0.154, -8.265e-10
-0.153, -9.474e-10
-0.152, -9.194e-10
-0.151, -8.598e-10
-0.150, -9.832e-10
-0.149, -8.198e-10
-0.148, -9.278e-10
-0.147, -8.978e-10
-0.146, -8.377e-10
-0.145, -9.531e-10
-0.144, -8.065e-10
-0.143, -9.272e-10
-0.142, -8.999e-10
-0.141, -8.378e-10
-0.140, -9.691e-10
-0.139, -8.184e-10
-0.138, -9.309e-10
-0.137, -8.912e-10
-0.136, -8.251e-10
-0.135, -9.386e-10
-0.134, -7.853e-10
-0.133, -9.010e-10
-0.132, -8.756e-10
-0.131, -8.167e-10
-0.130, -9.352e-10
-0.129, -7.814e-10
-0.128, -8.986e-10
-0.127, -8.672e-10
-0.126, -8.124e-10
-0.125, -9.316e-10
-0.124, -7.817e-10
-0.123, -9.022e-10
-0.122, -8.622e-10
-0.121, -7.991e-10
-0.120, -9.200e-10
-0.119, -7.669e-10
-0.118, -8.882e-10
-0.117, -8.489e-10
-0.116, -7.921e-10
-0.115, -9.146e-10
-0.114, -7.593e-10
-0.113, -8.766e-10
-0.112, -8.416e-10
-0.111, -7.923e-10
-0.110, -9.129e-10
-0.109, -7.693e-10
-0.108, -8.902e-10
-0.107, -8.483e-10
-0.106, -7.900e-10
-0.105, -9.055e-10
-0.104, -7.546e-10
-0.103, -8.730e-10
-0.102, -8.341e-10
-0.101, -7.805e-10
-0.100, -8.939e-10
-0.099, -7.440e-10
-0.098, -8.683e-10
-0.097, -8.239e-10
-0.096, -7.715e-10
-0.095, -8.928e-10
-0.094, -7.453e-10
-0.093, -8.774e-10
-0.092, -8.380e-10
-0.091, -7.934e-10
-0.090, -9.150e-10
-0.089, -7.640e-10
-0.088, -8.877e-10
-0.087, -8.512e-10
-0.086, -8.016e-10
-0.085, -9.137e-10
-0.084, -7.611e-10
-0.083, -8.753e-10
-0.082, -8.275e-10
-0.081, -7.835e-10
-0.080, -9.013e-10
-0.079, -7.448e-10
-0.078, -8.662e-10
-0.077, -8.210e-10
-0.076, -7.706e-10
-0.075, -8.864e-10
-0.074, -7.326e-10
-0.073, -8.524e-10
-0.072, -8.156e-10
-0.071, -7.654e-10
-0.070, -8.760e-10
-0.069, -7.194e-10
-0.068, -8.438e-10
-0.067, -7.959e-10
-0.066, -7.434e-10
-0.065, -8.561e-10
-0.064, -7.025e-10
-0.063, -8.208e-10
-0.062, -7.708e-10
-0.061, -7.254e-10
-0.060, -8.388e-10
-0.059, -6.879e-10
-0.058, -8.159e-10
-0.057, -7.666e-10
-0.056, -7.209e-10
-0.055, -8.366e-10
-0.054, -6.878e-10
-0.053, -8.127e-10
-0.052, -7.683e-10
-0.051, -7.220e-10
-0.050, -8.343e-10
-0.049, -6.793e-10
-0.048, -8.050e-10
-0.047, -7.556e-10
-0.046, -7.109e-10
-0.045, -8.276e-10
-0.044, -6.693e-10
-0.043, -7.960e-10
-0.042, -7.447e-10
-0.041, -6.992e-10
-0.040, -8.100e-10
-0.039, -6.567e-10
-0.038, -7.873e-10
-0.037, -7.391e-10
-0.036, -6.981e-10
-0.035, -8.154e-10
-0.034, -6.625e-10
-0.033, -7.851e-10
-0.032, -7.313e-10
-0.031, -6.887e-10
-0.030, -8.028e-10
-0.029, -6.500e-10
-0.028, -7.787e-10
-0.027, -7.262e-10
-0.026, -6.859e-10
-0.025, -7.977e-10
-0.024, -6.456e-10
-0.023, -7.739e-10
-0.022, -7.260e-10
-0.021, -6.874e-10
