Nov. 10, 2015   10:06:34
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa3.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7


Potential/V, Current/A

-0.388, -2.138e-10
-0.387, -2.553e-10
-0.386, -3.038e-10
-0.385, -1.760e-10
-0.384, -3.212e-10
-0.383, -2.091e-10
-0.382, -2.531e-10
-0.381, -3.046e-10
-0.380, -1.755e-10
-0.379, -3.182e-10
-0.378, -2.040e-10
-0.377, -2.484e-10
-0.376, -3.004e-10
-0.375, -1.740e-10
-0.374, -3.194e-10
-0.373, -2.053e-10
-0.372, -2.506e-10
-0.371, -2.986e-10
-0.370, -1.689e-10
-0.369, -3.140e-10
-0.368, -2.034e-10
-0.367, -2.513e-10
-0.366, -2.986e-10
-0.365, -1.675e-10
-0.364, -3.063e-10
-0.363, -1.972e-10
-0.362, -2.484e-10
-0.361, -2.988e-10
-0.360, -1.718e-10
-0.359, -3.188e-10
-0.358, -2.088e-10
-0.357, -2.510e-10
-0.356, -2.976e-10
-0.355, -1.714e-10
-0.354, -3.161e-10
-0.353, -2.030e-10
-0.352, -2.493e-10
-0.351, -2.967e-10
-0.350, -1.672e-10
-0.349, -3.136e-10
-0.348, -1.967e-10
-0.347, -2.423e-10
-0.346, -2.910e-10
-0.345, -1.669e-10
-0.344, -3.113e-10
-0.343, -1.954e-10
-0.342, -2.411e-10
-0.341, -2.904e-10
-0.340, -1.627e-10
-0.339, -3.092e-10
-0.338, -1.977e-10
-0.337, -2.476e-10
-0.336, -2.959e-10
-0.335, -1.678e-10
-0.334, -3.136e-10
-0.333, -1.995e-10
-0.332, -2.466e-10
-0.331, -2.929e-10
-0.330, -1.673e-10
-0.329, -3.149e-10
-0.328, -1.993e-10
-0.327, -2.419e-10
-0.326, -2.869e-10
-0.325, -1.609e-10
-0.324, -3.077e-10
-0.323, -1.919e-10
-0.322, -2.360e-10
-0.321, -2.862e-10
-0.320, -1.632e-10
-0.319, -3.064e-10
-0.318, -1.946e-10
-0.317, -2.459e-10
-0.316, -2.955e-10
-0.315, -1.679e-10
-0.314, -3.109e-10
-0.313, -1.981e-10
-0.312, -2.411e-10
-0.311, -2.898e-10
-0.310, -1.668e-10
-0.309, -3.084e-10
-0.308, -1.963e-10
-0.307, -2.445e-10
-0.306, -2.883e-10
-0.305, -1.604e-10
-0.304, -3.087e-10
-0.303, -1.931e-10
-0.302, -2.407e-10
-0.301, -2.872e-10
-0.300, -1.631e-10
-0.299, -3.062e-10
-0.298, -1.915e-10
-0.297, -2.391e-10
-0.296, -2.818e-10
-0.295, -1.556e-10
-0.294, -3.042e-10
-0.293, -1.943e-10
-0.292, -2.405e-10
-0.291, -2.858e-10
-0.290, -1.617e-10
-0.289, -3.074e-10
-0.288, -1.946e-10
-0.287, -2.468e-10
-0.286, -2.937e-10
-0.285, -1.710e-10
-0.284, -3.149e-10
-0.283, -1.997e-10
-0.282, -2.461e-10
-0.281, -2.898e-10
-0.280, -1.678e-10
-0.279, -3.153e-10
-0.278, -2.010e-10
-0.277, -2.515e-10
-0.276, -2.973e-10
-0.275, -1.711e-10
-0.274, -3.157e-10
-0.273, -2.000e-10
-0.272, -2.493e-10
-0.271, -2.912e-10
-0.270, -1.660e-10
-0.269, -3.118e-10
-0.268, -1.969e-10
-0.267, -2.464e-10
-0.266, -2.890e-10
-0.265, -1.579e-10
-0.264, -3.050e-10
-0.263, -1.902e-10
-0.262, -2.427e-10
-0.261, -2.874e-10
-0.260, -1.674e-10
-0.259, -3.127e-10
-0.258, -1.941e-10
-0.257, -2.395e-10
-0.256, -2.822e-10
-0.255, -1.594e-10
-0.254, -3.044e-10
-0.253, -1.862e-10
-0.252, -2.343e-10
-0.251, -2.781e-10
-0.250, -1.568e-10
-0.249, -3.049e-10
-0.248, -1.893e-10
-0.247, -2.407e-10
-0.246, -2.828e-10
-0.245, -1.553e-10
-0.244, -3.028e-10
-0.243, -1.848e-10
-0.242, -2.351e-10
-0.241, -2.808e-10
-0.240, -1.568e-10
-0.239, -2.990e-10
-0.238, -1.830e-10
-0.237, -2.338e-10
-0.236, -2.758e-10
-0.235, -1.523e-10
-0.234, -2.976e-10
-0.233, -1.854e-10
-0.232, -2.368e-10
-0.231, -2.784e-10
-0.230, -1.518e-10
-0.229, -2.976e-10
-0.228, -1.844e-10
-0.227, -2.370e-10
-0.226, -2.801e-10
-0.225, -1.580e-10
-0.224, -3.056e-10
-0.223, -1.873e-10
-0.222, -2.385e-10
-0.221, -2.822e-10
-0.220, -1.583e-10
-0.219, -3.005e-10
-0.218, -1.882e-10
-0.217, -2.411e-10
-0.216, -2.877e-10
-0.215, -1.638e-10
-0.214, -3.073e-10
-0.213, -1.878e-10
-0.212, -2.405e-10
-0.211, -2.818e-10
-0.210, -1.591e-10
-0.209, -3.016e-10
-0.208, -1.852e-10
-0.207, -2.351e-10
-0.206, -2.774e-10
-0.205, -1.556e-10
-0.204, -3.015e-10
-0.203, -1.839e-10
-0.202, -2.384e-10
-0.201, -2.835e-10
-0.200, -1.599e-10
-0.199, -3.038e-10
-0.198, -1.846e-10
-0.197, -2.391e-10
-0.196, -2.835e-10
-0.195, -1.586e-10
-0.194, -3.041e-10
-0.193, -1.835e-10
-0.192, -2.315e-10
-0.191, -2.749e-10
-0.190, -1.567e-10
-0.189, -3.027e-10
-0.188, -1.860e-10
-0.187, -2.347e-10
-0.186, -2.742e-10
-0.185, -1.548e-10
-0.184, -3.008e-10
-0.183, -1.843e-10
-0.182, -2.375e-10
-0.181, -2.769e-10
-0.180, -1.514e-10
-0.179, -2.935e-10
-0.178, -1.754e-10
-0.177, -2.274e-10
-0.176, -2.711e-10
-0.175, -1.503e-10
-0.174, -2.972e-10
-0.173, -1.770e-10
-0.172, -2.315e-10
-0.171, -2.705e-10
-0.170, -1.473e-10
-0.169, -2.955e-10
-0.168, -1.789e-10
-0.167, -2.318e-10
-0.166, -2.695e-10
-0.165, -1.493e-10
-0.164, -2.949e-10
-0.163, -1.748e-10
-0.162, -2.319e-10
-0.161, -2.734e-10
-0.160, -1.502e-10
-0.159, -2.945e-10
-0.158, -1.745e-10
-0.157, -2.270e-10
-0.156, -2.647e-10
-0.155, -1.444e-10
-0.154, -2.935e-10
-0.153, -1.783e-10
-0.152, -2.332e-10
-0.151, -2.710e-10
-0.150, -1.505e-10
-0.149, -2.956e-10
-0.148, -1.748e-10
-0.147, -2.292e-10
-0.146, -2.718e-10
-0.145, -1.496e-10
-0.144, -2.924e-10
-0.143, -1.715e-10
-0.142, -2.281e-10
-0.141, -2.653e-10
-0.140, -1.464e-10
-0.139, -2.934e-10
-0.138, -1.744e-10
-0.137, -2.300e-10
-0.136, -2.732e-10
-0.135, -1.521e-10
-0.134, -2.930e-10
-0.133, -1.728e-10
-0.132, -2.303e-10
-0.131, -2.712e-10
-0.130, -1.536e-10
-0.129, -2.983e-10
-0.128, -1.791e-10
-0.127, -2.345e-10
-0.126, -2.731e-10
-0.125, -1.544e-10
-0.124, -2.974e-10
-0.123, -1.784e-10
-0.122, -2.359e-10
-0.121, -2.721e-10
-0.120, -1.576e-10
-0.119, -3.005e-10
-0.118, -1.780e-10
-0.117, -2.341e-10
-0.116, -2.704e-10
-0.115, -1.500e-10
-0.114, -2.939e-10
-0.113, -1.764e-10
-0.112, -2.338e-10
-0.111, -2.711e-10
-0.110, -1.536e-10
-0.109, -2.960e-10
-0.108, -1.752e-10
-0.107, -2.345e-10
-0.106, -2.716e-10
-0.105, -1.489e-10
-0.104, -2.928e-10
-0.103, -1.698e-10
-0.102, -2.289e-10
-0.101, -2.638e-10
-0.100, -1.440e-10
-0.099, -2.907e-10
-0.098, -1.733e-10
-0.097, -2.312e-10
-0.096, -2.731e-10
-0.095, -1.539e-10
-0.094, -3.019e-10
-0.093, -1.800e-10
-0.092, -2.379e-10
-0.091, -2.774e-10
-0.090, -1.553e-10
-0.089, -3.008e-10
-0.088, -1.826e-10
-0.087, -2.384e-10
-0.086, -2.752e-10
-0.085, -1.559e-10
-0.084, -2.980e-10
-0.083, -1.724e-10
-0.082, -2.332e-10
-0.081, -2.741e-10
-0.080, -1.565e-10
-0.079, -3.031e-10
-0.078, -1.804e-10
-0.077, -2.384e-10
-0.076, -2.760e-10
-0.075, -1.584e-10
-0.074, -3.022e-10
-0.073, -1.813e-10
-0.072, -2.422e-10
-0.071, -2.771e-10
-0.070, -1.587e-10
-0.069, -3.058e-10
-0.068, -1.828e-10
-0.067, -2.434e-10
-0.066, -2.768e-10
-0.065, -1.594e-10
-0.064, -3.072e-10
-0.063, -1.863e-10
-0.062, -2.448e-10
-0.061, -2.824e-10
-0.060, -1.650e-10
-0.059, -3.071e-10
-0.058, -1.841e-10
-0.057, -2.455e-10
-0.056, -2.814e-10
-0.055, -1.644e-10
-0.054, -3.121e-10
-0.053, -1.866e-10
-0.052, -2.465e-10
-0.051, -2.816e-10
-0.050, -1.651e-10
-0.049, -3.141e-10
-0.048, -1.881e-10
-0.047, -2.475e-10
-0.046, -2.815e-10
-0.045, -1.657e-10
-0.044, -3.126e-10
-0.043, -1.907e-10
-0.042, -2.528e-10
-0.041, -2.866e-10
-0.040, -1.678e-10
-0.039, -3.102e-10
-0.038, -1.882e-10
-0.037, -2.486e-10
-0.036, -2.833e-10
-0.035, -1.664e-10
-0.034, -3.133e-10
-0.033, -1.901e-10
-0.032, -2.504e-10
-0.031, -2.819e-10
-0.030, -1.649e-10
-0.029, -3.130e-10
-0.028, -1.908e-10
-0.027, -2.537e-10
-0.026, -2.882e-10
-0.025, -1.710e-10
-0.024, -3.166e-10
-0.023, -1.923e-10
-0.022, -2.549e-10
-0.021, -2.901e-10
-0.020, -1.746e-10
-0.019, -3.197e-10
-0.018, -1.937e-10
-0.017, -2.554e-10
-0.016, -2.916e-10
-0.015, -1.777e-10
-0.014, -3.221e-10
-0.013, -1.994e-10
-0.012, -2.589e-10
-0.011, -2.938e-10
-0.010, -1.752e-10
-0.009, -3.228e-10
-0.008, -1.989e-10
-0.007, -2.602e-10
-0.006, -2.940e-10
-0.005, -1.770e-10
-0.004, -3.199e-10
-0.003, -1.955e-10
-0.002, -2.583e-10
-0.001, -2.924e-10
-0.000, -1.768e-10
0.001, -3.212e-10
0.002, -1.979e-10
0.003, -2.623e-10
0.004, -2.963e-10
0.005, -1.811e-10
0.006, -3.245e-10
0.007, -2.010e-10
0.008, -2.677e-10
0.009, -3.008e-10
0.010, -1.848e-10
0.011, -3.305e-10
0.012, -2.070e-10
0.013, -2.688e-10
0.014, -3.019e-10
